source,primary_id,name,version,loader,file,weapon_suspect,category,path,length
aeronaftics,compactmachines,Compact Machines,7.0.81,neoforge,compactmachines-neoforge-7.0.81.jar,no,,C:\Users\teres\.minecraftx\instances\aeronaftics\mods\compactmachines-neoforge-7.0.81.jar,684420
aeronaftics,connectedglass,Connected Glass,1.1.14,neoforge,connectedglass-1.1.14-neoforge-mc1.21.jar,no,,C:\Users\teres\.minecraftx\instances\aeronaftics\mods\connectedglass-1.1.14-neoforge-mc1.21.jar,819976
aeronaftics,connectivity,Connectivity Mod,7.6,neoforge,connectivity-1.21.1-7.6.jar,no,,C:\Users\teres\.minecraftx\instances\aeronaftics\mods\connectivity-1.21.1-7.6.jar,114165
aeronaftics,constructionstick,Construction Sticks,${file.jarVersion},neoforge,ConstructionSticks-1.21.1-1.3.0.jar,no,,C:\Users\teres\.minecraftx\instances\aeronaftics\mods\ConstructionSticks-1.21.1-1.3.0.jar,262932
aeronaftics,cookingforblockheads,Cooking for Blockheads,21.1.20,neoforge,cookingforblockheads-neoforge-1.21.1-21.1.20.jar,no,,C:\Users\teres\.minecraftx\instances\aeronaftics\mods\cookingforblockheads-neoforge-1.21.1-21.1.20.jar,1260692
aeronaftics,corgilib,CorgiLib,5.0.0.9,neoforge,Corgilib-NeoForge-1.21.1-5.0.0.9.jar,no,,C:\Users\teres\.minecraftx\instances\aeronaftics\mods\Corgilib-NeoForge-1.21.1-5.0.0.9.jar,309763
aeronaftics,cosmeticarmorreworked,CosmeticArmorReworked,1.21.1-v1-neoforge,neoforge,cosmeticarmorreworked-1.21.1-v1-neoforge.jar,no,,C:\Users\teres\.minecraftx\instances\aeronaftics\mods\cosmeticarmorreworked-1.21.1-v1-neoforge.jar,92722
aeronaftics,crafting_on_a_stick,Crafting On A Stick,1.21.0.4,neoforge,crafting_on_a_stick-1.21.0.4.jar,no,,C:\Users\teres\.minecraftx\instances\aeronaftics\mods\crafting_on_a_stick-1.21.0.4.jar,78661
aeronaftics,craftingtweaks,Crafting Tweaks,21.1.7,neoforge,craftingtweaks-neoforge-1.21.1-21.1.7.jar,no,,C:\Users\teres\.minecraftx\instances\aeronaftics\mods\craftingtweaks-neoforge-1.21.1-21.1.7.jar,255939
aeronaftics,crash_assistant,Crash Assistant,1.11.6,neoforge,CrashAssistant-neoforge-1.20.6-1.21.4-1.11.6.jar,no,,C:\Users\teres\.minecraftx\instances\aeronaftics\mods\CrashAssistant-neoforge-1.20.6-1.21.4-1.11.6.jar,3111910
aeronaftics,crashutilities,Crash Utilities,9.0.4,neoforge,crashutilities-9.0.4.jar,no,,C:\Users\teres\.minecraftx\instances\aeronaftics\mods\crashutilities-9.0.4.jar,225310
aeronaftics,createbigcannons,Create Big Cannons,5.11.2,neoforge,createbigcannons-5.11.2-mc.1.21.1.jar,yes,,C:\Users\teres\.minecraftx\instances\aeronaftics\mods\createbigcannons-5.11.2-mc.1.21.1.jar,3697176
aeronaftics,creeperoverhaul,Creeper Overhaul,4.0.6,neoforge,CreeperOverhaul-neoforge-1.21.1-4.0.6.jar,no,,C:\Users\teres\.minecraftx\instances\aeronaftics\mods\CreeperOverhaul-neoforge-1.21.1-4.0.6.jar,1185088
aeronaftics,cristellib,Cristel Lib,3.0.3,neoforge,cristellib-neoforge-1.21.1-3.0.3.jar,no,,C:\Users\teres\.minecraftx\instances\aeronaftics\mods\cristellib-neoforge-1.21.1-3.0.3.jar,539899
aeronaftics,cryonicconfig,Cryonic Config,1.0.0+mc1.21.11,neoforge,cryonicconfig-neoforge-1.0.0%2Bmc1.21.11.jar,no,,C:\Users\teres\.minecraftx\instances\aeronaftics\mods\cryonicconfig-neoforge-1.0.0%2Bmc1.21.11.jar,133851
